Subward,Year,Farm_Prop,Livestock_Prop,Remittances_Prop,Off-Farm Labor_Prop,Other_Prop
2301,72,0.14957736739951122,0.09119823765087441,0.33706355802672383,0.30474697073149437,0.11741386619139613
2301,73,0.1497136397127742,0.0925973933607175,0.3633900510144538,0.28093618185548813,0.1133627340565664
2301,74,0.1288595748750836,0.08014736572343127,0.3724291364388266,0.29905015283660874,0.11951377012604984
2301,75,0.12534157237374036,0.09040961826703377,0.39191378506633057,0.29894277704608063,0.09339224724681466
2301,76,0.1245400940529729,0.05725982364149181,0.3843324872632646,0.3247416077435846,0.10912598729868618
2301,77,0.13646691130959407,0.08108392861433009,0.3979313446265341,0.29961741825555455,0.08490039719398722
2301,78,0.1260498949919009,0.08962837055941601,0.4224795586444684,0.27562095649362833,0.0862212193105864
2304,72,0.09486028072833971,0.2078562103149514,0.2697787221283443,0.326990642040554,0.10051414478781054
2304,73,0.09235152186684269,0.22463955301871744,0.2534617702949574,0.3338618661812997,0.09568528863818274
2304,74,0.09193003758675738,0.22981762293341257,0.2492430770107693,0.32307052457410274,0.10593873789495799
2304,75,0.06342718194327969,0.21424512878529955,0.29250459554448727,0.3048145590004959,0.12500853472643764
2304,76,0.061308007702980345,0.22850300228641277,0.275992383154166,0.32602500917180627,0.10817159768463457
2304,77,0.08070214207952822,0.22318889446766665,0.2610602856762781,0.3331370546771219,0.10191162309940516
2304,78,0.07145586475909727,0.2330086246307529,0.26598822304270187,0.3278844151390807,0.10166287242836727
2309,72,0.02709476710219396,0.23993100973767614,0.21334859031880443,0.41373061298290104,0.10589501985842442
2309,73,0.024375593502501645,0.24421025545086916,0.20419994233852556,0.4292532956617079,0.09796091304639566
2309,74,0.031574014319551945,0.22742027623827926,0.2002329528540866,0.4468316684148697,0.0939410881732125
2309,75,0.032782515745305746,0.19954879773744158,0.1528745620158425,0.5098128215204905,0.1049813029809197
2309,76,0.04219942508531137,0.18734365397106537,0.17337592310590152,0.4956187846505045,0.10146221318721729
2309,77,0.045219929228996765,0.18350724991635461,0.1876881625041688,0.48298509055874395,0.1005995677917359
2309,78,0.03241393965313252,0.18006204734412484,0.16903008800810662,0.5092233929603713,0.10927053203426472
2605,72,0.16727603356567586,0.19042286580172427,0.37529127796778483,0.2031826977367679,0.06382712492804722
2605,73,0.11136062202364727,0.18661721612316945,0.41474676753021245,0.22374521675367562,0.0635301775692953
2605,74,0.13163608041179345,0.19702462765444723,0.36066461240795905,0.24395305312393553,0.06672162640186473
2605,75,0.12097261800408615,0.19853566083045643,0.35431293811962206,0.2367401785154733,0.08943860453036201
2605,76,0.13875500193469356,0.20165754115436282,0.2839945546914274,0.2557173819087559,0.11987552031076026
2605,77,0.08098937095077156,0.2483310057032117,0.2651229669205711,0.26648963466562275,0.1390670217598229
2605,78,0.06342806573324507,0.25622662255625794,0.30677821748722794,0.2385483968888645,0.13501869733440452
2610,72,0.2338187439707329,0.10995789335843721,0.2515363140208752,0.3366244539777068,0.06806259467224791
2610,73,0.22576692796031617,0.11531738219000161,0.2726030237003315,0.319221334223441,0.06709133192590967
2610,74,0.20766154899932127,0.1276138252098515,0.2541906490622733,0.3306779006842143,0.07985607604433961
2610,75,0.17225748242653233,0.14319496318189626,0.22950361000018052,0.35902090710457935,0.09602303728681154
2610,76,0.17937549468753894,0.14303359153415815,0.20634941306968235,0.35618830155013714,0.11505319915848346
2610,77,0.16619356838847965,0.1309545025246107,0.18556454354292717,0.3862964830007262,0.13099090254325627
2610,78,0.16432378586119809,0.1681467256855071,0.1615733018476658,0.36683800509291686,0.13911818151271213
2611,72,0.22547802946531623,0.15953371262298566,0.31739088870225396,0.2199038216992782,0.077693547510166
2611,73,0.20537961543571936,0.19507153140091651,0.29562631232470993,0.2279133400161898,0.07600920082246444
2611,74,0.19896148750128997,0.20272008617362475,0.28036876548576034,0.23115470501160987,0.08679495582771506
2611,75,0.19389023919725829,0.16182051777331566,0.2480337640433528,0.29376100474004535,0.10249447424602787
2611,76,0.1830662656846991,0.18813351420375257,0.2177096704200666,0.29180961071422024,0.11928093897726152
2611,77,0.153350528525315,0.1634543182228374,0.24717350118900006,0.3130969351932269,0.12292471686962063
2611,78,0.13115957134698436,0.15645724247943016,0.2587898057901189,0.33885275350132643,0.11474062688214014
